2018-12-09 16:20:14,978-Start test model
2018-12-09 16:20:14,984-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1192.jpg, predict:Forest fact:Forest
2018-12-09 16:20:14,986-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2854.jpg, predict:kitchen fact:Forest
2018-12-09 16:20:14,988-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1034.jpg, predict:OpenCountry fact:Forest
2018-12-09 16:20:14,991-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1092.jpg, predict:industrial fact:Forest
2018-12-09 16:20:14,993-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1120.jpg, predict:livingroom fact:Forest
2018-12-09 16:20:14,995-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2776.jpg, predict:Forest fact:Forest
2018-12-09 16:20:14,997-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2762.jpg, predict:Forest fact:Forest
2018-12-09 16:20:14,999-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1082.jpg, predict:Insidecity fact:Forest
2018-12-09 16:20:15,001-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2760.jpg, predict:Coast fact:Forest
2018-12-09 16:20:15,002-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1081.jpg, predict:Coast fact:Forest
2018-12-09 16:20:15,004-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2792.jpg, predict:industrial fact:Forest
2018-12-09 16:20:15,007-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2779.jpg, predict:industrial fact:Forest
2018-12-09 16:20:15,009-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2751.jpg, predict:kitchen fact:Forest
2018-12-09 16:20:15,011-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1115.jpg, predict:Street fact:Forest
2018-12-09 16:20:15,013-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1075.jpg, predict:industrial fact:Forest
2018-12-09 16:20:15,015-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1159.jpg, predict:Insidecity fact:Forest
2018-12-09 16:20:15,016-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2876.jpg, predict:bedroom fact:Forest
2018-12-09 16:20:15,020-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2866.jpg, predict:Coast fact:Forest
2018-12-09 16:20:15,023-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1176.jpg, predict:OpenCountry fact:Forest
2018-12-09 16:20:15,026-image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2913.jpg, predict:Forest fact:Forest
2018-12-09 16:20:15,027-category:Forest correct_ratio:20.0%
2018-12-09 16:20:15,029-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2672.jpg, predict:OpenCountry fact:bedroom
2018-12-09 16:20:15,031-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/88.jpg, predict:Coast fact:bedroom
2018-12-09 16:20:15,033-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/48.jpg, predict:Street fact:bedroom
2018-12-09 16:20:15,035-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2981.jpg, predict:bedroom fact:bedroom
2018-12-09 16:20:15,037-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2599.jpg, predict:Coast fact:bedroom
2018-12-09 16:20:15,041-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/248.jpg, predict:Coast fact:bedroom
2018-12-09 16:20:15,043-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/107.jpg, predict:bedroom fact:bedroom
2018-12-09 16:20:15,044-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/13.jpg, predict:Coast fact:bedroom
2018-12-09 16:20:15,046-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2624.jpg, predict:Office fact:bedroom
2018-12-09 16:20:15,048-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/243.jpg, predict:industrial fact:bedroom
2018-12-09 16:20:15,050-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2625.jpg, predict:store fact:bedroom
2018-12-09 16:20:15,052-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2805.jpg, predict:Mountain fact:bedroom
2018-12-09 16:20:15,053-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/331.jpg, predict:Forest fact:bedroom
2018-12-09 16:20:15,056-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/326.jpg, predict:Office fact:bedroom
2018-12-09 16:20:15,059-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/124.jpg, predict:Coast fact:bedroom
2018-12-09 16:20:15,060-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/194.jpg, predict:bedroom fact:bedroom
2018-12-09 16:20:15,062-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2860.jpg, predict:OpenCountry fact:bedroom
2018-12-09 16:20:15,064-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2686.jpg, predict:industrial fact:bedroom
2018-12-09 16:20:15,066-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2.jpg, predict:livingroom fact:bedroom
2018-12-09 16:20:15,068-image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2904.jpg, predict:Street fact:bedroom
2018-12-09 16:20:15,068-category:bedroom correct_ratio:15.0%
2018-12-09 16:20:15,070-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2513.jpg, predict:industrial fact:Office
2018-12-09 16:20:15,072-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/1036.jpg, predict:Office fact:Office
2018-12-09 16:20:15,075-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2339.jpg, predict:bedroom fact:Office
2018-12-09 16:20:15,076-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2918.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,078-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/1451.jpg, predict:kitchen fact:Office
2018-12-09 16:20:15,079-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2210.jpg, predict:bedroom fact:Office
2018-12-09 16:20:15,081-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/678.jpg, predict:Office fact:Office
2018-12-09 16:20:15,083-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2554.jpg, predict:Street fact:Office
2018-12-09 16:20:15,084-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2583.jpg, predict:Office fact:Office
2018-12-09 16:20:15,086-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2970.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,088-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2347.jpg, predict:OpenCountry fact:Office
2018-12-09 16:20:15,090-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/1248.jpg, predict:Highway fact:Office
2018-12-09 16:20:15,092-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2595.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,093-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/859.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,096-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/829.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,098-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/637.jpg, predict:bedroom fact:Office
2018-12-09 16:20:15,100-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/813.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,102-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2252.jpg, predict:TallBuilding fact:Office
2018-12-09 16:20:15,103-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/768.jpg, predict:Highway fact:Office
2018-12-09 16:20:15,106-image:/Users/weiziyang/CV_DATA/testing_tagged/Office/796.jpg, predict:Coast fact:Office
2018-12-09 16:20:15,107-category:Office correct_ratio:15.0%
2018-12-09 16:20:15,111-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2466.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,114-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1195.jpg, predict:bedroom fact:Highway
2018-12-09 16:20:15,115-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2931.jpg, predict:OpenCountry fact:Highway
2018-12-09 16:20:15,117-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1251.jpg, predict:Coast fact:Highway
2018-12-09 16:20:15,118-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1252.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,120-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2944.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,121-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1271.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,125-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2553.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,127-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1304.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,128-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1476.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,130-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2972.jpg, predict:Highway fact:Highway
2018-12-09 16:20:15,131-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1206.jpg, predict:Coast fact:Highway
2018-12-09 16:20:15,133-image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1561.jpg, predict:Highway fact:Highway
