2018-12-13 12:44:32,978 - The function generate_sift costs 28.511871 seconds
2018-12-13 12:45:05,563 - The function compute_k_means costs 31.337864 seconds
2018-12-13 12:45:09,844 - The function compute_svm costs 4.273391 seconds
2018-12-13 12:45:09,846 - The function train costs 65.379894 seconds
2018-12-13 12:45:09,846 - Start test model
2018-12-13 12:45:09,879 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1192.jpg, predict:Forest fact:Forest
2018-12-13 12:45:09,905 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2854.jpg, predict:Forest fact:Forest
2018-12-13 12:45:09,923 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1034.jpg, predict:Coast fact:Forest
2018-12-13 12:45:09,947 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1092.jpg, predict:Forest fact:Forest
2018-12-13 12:45:09,967 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1120.jpg, predict:OpenCountry fact:Forest
2018-12-13 12:45:09,990 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2776.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,018 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2762.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,042 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1082.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,071 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2760.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,097 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1081.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,124 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2792.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,163 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2779.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,201 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2751.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,226 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1115.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,256 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1075.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,279 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1159.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,309 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2876.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,334 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2866.jpg, predict:OpenCountry fact:Forest
2018-12-13 12:45:10,370 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/1176.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,408 - image:/Users/weiziyang/CV_DATA/testing_tagged/Forest/2913.jpg, predict:Forest fact:Forest
2018-12-13 12:45:10,408 - category:Forest correct_ratio:85.0%
2018-12-13 12:45:10,435 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2672.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,452 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/88.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,476 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/48.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,489 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2981.jpg, predict:kitchen fact:bedroom
2018-12-13 12:45:10,508 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2599.jpg, predict:industrial fact:bedroom
2018-12-13 12:45:10,558 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/248.jpg, predict:Street fact:bedroom
2018-12-13 12:45:10,581 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/107.jpg, predict:Office fact:bedroom
2018-12-13 12:45:10,613 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/13.jpg, predict:livingroom fact:bedroom
2018-12-13 12:45:10,643 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2624.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,664 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/243.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,676 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2625.jpg, predict:Office fact:bedroom
2018-12-13 12:45:10,708 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2805.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,732 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/331.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,761 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/326.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,783 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/124.jpg, predict:industrial fact:bedroom
2018-12-13 12:45:10,805 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/194.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,828 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2860.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,844 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2686.jpg, predict:livingroom fact:bedroom
2018-12-13 12:45:10,860 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2.jpg, predict:kitchen fact:bedroom
2018-12-13 12:45:10,879 - image:/Users/weiziyang/CV_DATA/testing_tagged/bedroom/2904.jpg, predict:bedroom fact:bedroom
2018-12-13 12:45:10,880 - category:bedroom correct_ratio:55.00000000000001%
2018-12-13 12:45:10,899 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2513.jpg, predict:bedroom fact:Office
2018-12-13 12:45:10,918 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/1036.jpg, predict:Office fact:Office
2018-12-13 12:45:10,946 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2339.jpg, predict:Office fact:Office
2018-12-13 12:45:10,964 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2918.jpg, predict:Highway fact:Office
2018-12-13 12:45:10,989 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/1451.jpg, predict:Office fact:Office
2018-12-13 12:45:11,008 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2210.jpg, predict:Office fact:Office
2018-12-13 12:45:11,042 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/678.jpg, predict:Office fact:Office
2018-12-13 12:45:11,058 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2554.jpg, predict:kitchen fact:Office
2018-12-13 12:45:11,075 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2583.jpg, predict:Office fact:Office
2018-12-13 12:45:11,092 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2970.jpg, predict:Office fact:Office
2018-12-13 12:45:11,130 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2347.jpg, predict:Office fact:Office
2018-12-13 12:45:11,147 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/1248.jpg, predict:bedroom fact:Office
2018-12-13 12:45:11,164 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2595.jpg, predict:Office fact:Office
2018-12-13 12:45:11,188 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/859.jpg, predict:Office fact:Office
2018-12-13 12:45:11,209 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/829.jpg, predict:livingroom fact:Office
2018-12-13 12:45:11,226 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/637.jpg, predict:Office fact:Office
2018-12-13 12:45:11,249 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/813.jpg, predict:Office fact:Office
2018-12-13 12:45:11,270 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/2252.jpg, predict:Office fact:Office
2018-12-13 12:45:11,286 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/768.jpg, predict:bedroom fact:Office
2018-12-13 12:45:11,302 - image:/Users/weiziyang/CV_DATA/testing_tagged/Office/796.jpg, predict:Office fact:Office
2018-12-13 12:45:11,302 - category:Office correct_ratio:70.0%
2018-12-13 12:45:11,319 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2466.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,335 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1195.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,348 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/2931.jpg, predict:Highway fact:Highway
2018-12-13 12:45:11,366 - image:/Users/weiziyang/CV_DATA/testing_tagged/Highway/1251.jpg, predict:Highway fact:Highway
